,,,,,,
Name,Age,Gender,Married,Job,Annual Income,Did he accept the credit card
Amy,70,Female,Yes,Judge,36129,Yes
Crystal,46,Male,Yes,tailor,30230,Yes
Michelle,56,Male,Yes,Captain,54879,No
Tiffany,18,Male,No,tailor,38738,No
Jeremy,61,Male,No,Captain,57288,No
Benjamin,25,Female,No,Doctor,63500,No
Mark,30,Male,Yes,Judge,61980,Yes
Emily,34,Male,No,Painter,49336,Yes
Aaron,24,Female,No,Judge,25349,Yes
Charles,69,Male,Yes,Painter,39650,No
Rebecca,67,Male,Yes,Accountant,66555,No
Jacob,47,Male,Yes,Painter,35971,No
Stephen,18,Male,No,Captain,53471,No
Patrick,29,Female,Yes,Pilot,50648,No
Sean,55,Male,Yes,Pilot,50418,No
Erin,61,Female,No,Teacher,41860,Yes
Zachary,42,Female,Yes,tailor,21156,No
Jamie,46,Male,Yes,tailor,56575,Yes
Kelly,38,Male,Yes,Painter,53244,No
Samantha,22,Male,No,Accountant,24795,Yes
Nathan,26,Female,Yes,Engineer,25159,Yes
Sara,45,Female,No,Accountant,31774,Yes
Dustin,58,Female,Yes,Accountant,63145,No
Paul,52,Male,No,Pilot,66113,Yes
Angela,50,Male,No,Teacher,28791,Yes
Tyler,36,Female,Yes,tailor,15793,No
Scott,70,Female,Yes,tailor,25084,No
Katherine,60,Female,No,Doctor,22505,Yes
Andrea,37,Male,No,Worker,50277,Yes
Gregory,72,Male,Yes,Engineer,48219,No
Erica,33,Female,No,Engineer,33629,Yes
Mary,20,Female,No,Judge,39351,Yes
Travis,68,Male,No,Pilot,36288,Yes
Lisa,59,Male,No,Painter,23139,Yes
Kenneth,25,Male,Yes,Pilot,14061,Yes
Bryan,28,Male,Yes,Teacher,25991,No
Lindsey,62,Male,No,Captain,36510,Yes
Kristen,41,Female,No,Engineer,47630,Yes
Jose,34,Female,No,Teacher,52515,No
Alexander,18,Female,No,Worker,62352,No
Jesse,57,Female,No,Painter,24083,No
Katie,49,Male,Yes,Pilot,56141,Yes
Lindsay,35,Male,No,Worker,59872,Yes
Shannon,64,Male,No,Pilot,58255,Yes
Vanessa,39,Female,No,Judge,40700,No
Courtney,51,Male,No,Painter,23929,No
Christine,31,Female,No,Accountant,47658,No
Alicia,71,Male,Yes,tailor,43233,Yes
Cody,17,Male,No,Doctor,21896,Yes
Allison,48,Male,Yes,Accountant,52194,Yes
Bradley,66,Female,Yes,Worker,38774,No
Samuel,40,Male,Yes,Accountant,17440,No
Shawn,24,Female,Yes,Judge,30496,No
April,63,Male,No,Captain,29277,No
Derek,27,Female,No,Pilot,62818,Yes
Kathryn,21,Male,No,Pilot,37810,No
Kristin,43,Male,Yes,Engineer,11987,No
Chad,65,Female,Yes,Engineer,66104,Yes
Jenna,54,Female,No,Accountant,26143,No
Tara,32,Male,Yes,Worker,20495,Yes
Maria,19,Female,Yes,Engineer,13629,Yes
Krystal,56,Female,Yes,Doctor,36961,No
Jared,23,Male,Yes,Judge,26924,No
Anna,44,Male,Yes,Teacher,48487,No
Edward,30,Male,Yes,Engineer,29118,Yes
Julie,53,Female,No,tailor,34002,Yes
Peter,35,Male,No,Captain,40976,No
Holly,50,Female,No,Captain,28686,No
Marcus,41,Female,Yes,Teacher,26679,No
Kristina,30,Male,Yes,Teacher,38206,Yes
Natalie,25,Male,Yes,Judge,17068,No
Jordan,58,Female,Yes,Teacher,12042,No
Victoria,43,Female,No,Engineer,12596,No
Jacqueline,56,Female,Yes,Painter,42926,Yes
Corey,18,Female,Yes,Captain,38498,No
Keith,64,Male,No,Accountant,32310,No
Monica,45,Female,No,tailor,53285,Yes
Juan,47,Male,No,Teacher,45996,No
Donald,71,Female,Yes,tailor,65831,Yes
Cassandra,28,Male,No,Teacher,53697,Yes
Meghan,17,Male,No,Worker,67541,Yes
Joel,65,Female,Yes,Painter,39920,No
Shane,33,Female,Yes,Accountant,10275,No
Phillip,19,Female,No,Captain,18865,Yes
Patricia,53,Male,No,Judge,62090,No
Brett,63,Male,Yes,Teacher,50125,No
Ronald,61,Female,Yes,Teacher,37585,Yes
Catherine,66,Male,No,Judge,64413,Yes
George,42,Female,No,Worker,44780,Yes
Antonio,67,Female,No,Worker,37224,No
Cynthia,22,Female,No,Worker,18210,Yes
Stacy,69,Male,No,Teacher,32508,Yes
Kathleen,39,Female,No,Painter,50902,No
Raymond,51,Female,No,tailor,69081,No
Carlos,52,Male,No,Painter,57965,Yes
Brandi,18,Male,No,Pilot,69245,Yes
Douglas,29,Male,No,Worker,10436,No
Nathaniel,60,Female,Yes,Pilot,28253,No
Ian,59,Male,No,Pilot,31076,No
Craig,32,Male,Yes,Engineer,14345,No
Brandy,24,Male,Yes,Judge,36817,Yes
Alex,26,Male,Yes,Pilot,42230,Yes
Valerie,57,Female,No,Engineer,29249,No
Veronica,48,Male,No,Pilot,62253,No
Cory,70,Female,No,Captain,61708,No
Whitney,36,Male,Yes,Pilot,52732,No
Gary,54,Female,Yes,Painter,58373,Yes
Derrick,34,Female,Yes,Teacher,31128,Yes
Philip,40,Female,Yes,Doctor,49288,No
Luis,44,Male,Yes,tailor,53954,Yes
Diana,72,Male,No,Judge,56522,Yes
Chelsea,23,Male,Yes,Worker,26906,No
Leslie,46,Female,No,Painter,45921,Yes
Caitlin,38,Female,Yes,Engineer,17574,No
Leah,62,Male,Yes,Judge,67125,No
Natasha,21,Male,Yes,tailor,42911,No
Erika,37,Female,No,Captain,49699,No
Casey,20,Male,Yes,tailor,13851,No
Latoya,27,Male,No,Worker,46437,Yes
Erik,49,Male,No,Pilot,68508,No
Dana,31,Male,Yes,Worker,34604,Yes
Victor,68,Male,No,Painter,33707,Yes
Brent,55,Female,Yes,Doctor,52341,No
Dominique,50,Female,No,Painter,46507,No
Frank,34,Male,No,tailor,50396,Yes
Brittney,63,Female,No,tailor,41909,Yes
Evan,17,Female,Yes,Accountant,25527,Yes
Gabriel,70,Female,Yes,Doctor,23768,Yes
Julia,48,Female,No,tailor,36073,No
Candice,62,Male,Yes,Engineer,41289,No
Karen,65,Male,Yes,Painter,13267,Yes
Melanie,54,Male,Yes,Worker,21088,No
Adrian,32,Female,Yes,Doctor,62923,Yes
Stacey,27,Female,No,Pilot,22514,Yes
Margaret,25,Male,No,Pilot,63181,No
Sheena,67,Male,Yes,Worker,29308,Yes
Wesley,58,Male,No,Pilot,17355,No
Vincent,57,Female,Yes,Captain,68279,No
Alexandra,20,Female,Yes,Judge,69260,No
Katrina,52,Male,Yes,Captain,33157,Yes
Bethany,26,Female,No,Painter,46199,No
Nichole,24,Female,No,Captain,10060,No
Larry,49,Female,Yes,tailor,42438,No
Jeffery,61,Female,Yes,Captain,29226,No
Curtis,18,Female,No,Judge,67403,Yes
Carrie,41,Female,Yes,Doctor,47358,Yes
Todd,68,Male,No,Captain,44521,Yes
Blake,36,Female,Yes,Accountant,25675,No
Christian,28,Male,No,Engineer,37107,No
Randy,55,Male,No,Teacher,39407,No
Dennis,51,Female,No,Engineer,69118,No
Alison,19,Female,Yes,Judge,22764,Yes
Trevor,22,Female,Yes,Teacher,29189,No
Seth,69,Female,Yes,Accountant,10795,Yes
Kara,60,Female,No,Judge,26830,No
Joanna,66,Female,No,Worker,27437,No
Rachael,23,Female,No,Judge,44757,Yes
Luke,35,Male,Yes,Worker,38041,No
Felicia,42,Male,No,Pilot,55304,Yes
Brooke,39,Male,Yes,Painter,53686,Yes
Austin,44,Female,No,Judge,38906,Yes
Candace,40,Male,No,Teacher,57227,No
Jasmine,31,Male,Yes,Accountant,67209,No
Jesus,30,Female,Yes,Teacher,12577,Yes
Alan,46,Male,Yes,tailor,24334,Yes
Susan,43,Female,Yes,Worker,52048,No
Sandra,37,Male,No,Judge,48218,No
Tracy,29,Female,Yes,Painter,60305,Yes
Kayla,59,Female,Yes,Judge,19960,Yes
Nancy,38,Female,Yes,Accountant,46773,No
Tina,45,Male,Yes,Teacher,68332,No
Krystle,18,Male,No,Judge,25258,Yes
Russell,56,Male,No,Pilot,29144,Yes
Jeremiah,64,Female,No,tailor,24149,Yes
Carl,53,Female,Yes,Pilot,33934,Yes
Miguel,33,Female,Yes,Accountant,61100,Yes
Tony,72,Male,No,Pilot,53073,No
Alexis,47,Female,Yes,Judge,65478,No
Gina,71,Female,No,Teacher,43784,No
Jillian,21,Male,No,Painter,53831,Yes
Pamela,68,Female,Yes,Painter,45508,Yes
Mitchell,48,Female,No,Teacher,21025,Yes
Hannah,28,Female,No,Teacher,22995,No
Renee,42,Male,No,Engineer,17886,No
Denise,37,Male,No,Worker,41763,Yes
Molly,41,Male,Yes,Engineer,67069,No
Jerry,19,Female,No,Pilot,27463,No
Misty,35,Male,Yes,Engineer,23822,Yes
Mario,59,Female,Yes,Judge,34611,No
Johnathan,43,Male,Yes,Captain,38395,Yes
Jaclyn,67,Female,No,Captain,14190,Yes
Brenda,36,Female,Yes,Worker,24023,No
Terry,52,Male,Yes,Engineer,31317,No
Lacey,40,Male,No,tailor,65808,Yes
Shaun,34,Male,Yes,tailor,64287,Yes
Devin,18,Female,Yes,Painter,30734,No
Heidi,45,Female,No,Doctor,48051,No
Troy,44,Male,No,Doctor,24862,No
Lucas,21,Male,Yes,tailor,68090,Yes
Desiree,32,Male,Yes,Captain,63836,Yes
Jorge,51,Female,Yes,Painter,19706,Yes
Andre,53,Female,No,Teacher,47355,Yes
Morgan,57,Female,Yes,Captain,44605,Yes
Drew,31,Female,No,Captain,41776,No
Sabrina,46,Female,No,Teacher,15188,No
Miranda,23,Male,No,tailor,22022,Yes
Alyssa,60,Female,Yes,Worker,34345,No
Alisha,30,Male,No,tailor,38620,Yes
Teresa,58,Female,No,Doctor,18645,Yes
Johnny,24,Female,No,Accountant,64074,No
Meagan,26,Male,Yes,Pilot,40000,Yes
Allen,56,Female,Yes,Doctor,42718,Yes
Krista,66,Female,Yes,Engineer,58633,No
Marc,27,Female,No,tailor,48229,No
Tabitha,38,Female,Yes,Painter,28937,Yes
Lance,71,Female,Yes,Teacher,35373,No
Ricardo,55,Female,No,Pilot,32035,Yes
Martin,54,Female,Yes,tailor,26904,No
Chase,50,Male,No,Pilot,15817,Yes
Theresa,18,Female,No,Doctor,24206,Yes
Melinda,22,Male,Yes,Pilot,41793,No
Monique,47,Female,Yes,Teacher,68521,Yes
Tanya,29,Female,Yes,Judge,12017,Yes
Linda,39,Female,No,Pilot,48148,No
Kristopher,70,Male,No,Painter,18656,Yes
Bobby,33,Female,No,Captain,13362,Yes
Caleb,61,Male,Yes,Accountant,63891,No
Ashlee,65,Female,No,Captain,20625,Yes
Kelli,64,Male,No,Doctor,60825,No
Henry,25,Male,No,Engineer,67603,Yes
Garrett,63,Male,No,Doctor,45211,No
Mallory,20,Female,Yes,tailor,60333,No
Jill,49,Female,No,Teacher,14501,Yes
Jonathon,72,Female,No,Engineer,62503,No
Kristy,62,Male,No,Teacher,11874,No
Anne,17,Male,Yes,tailor,55324,No
Francisco,69,Female,Yes,Teacher,58899,Yes
Danny,23,Female,Yes,Judge,28276,No
Robin,71,Female,No,Judge,46522,No
Lee,58,Female,Yes,Pilot,15034,Yes
Tamara,27,Male,Yes,Captain,66321,Yes
Manuel,54,Male,No,Teacher,47176,Yes
Meredith,68,Male,No,Captain,30633,Yes
Colleen,60,Male,Yes,Worker,45230,No
Lawrence,37,Female,No,tailor,13377,No
Christy,22,Female,Yes,Doctor,37288,Yes
Ricky,29,Female,Yes,Painter,22461,Yes
Randall,25,Female,Yes,Accountant,65809,No
Marissa,20,Female,Yes,tailor,15174,Yes
Ross,47,Male,Yes,Engineer,13050,No
Mathew,65,Male,No,Captain,22317,Yes
Jimmy,18,Male,No,Captain,55389,No
Abigail,70,Female,No,Engineer,54323,Yes
Kendra,28,Female,Yes,tailor,55817,Yes
Carolyn,26,Female,No,Accountant,33078,No
Billy,38,Male,No,Pilot,42818,Yes
Deanna,46,Female,Yes,Judge,18188,Yes
Jenny,53,Female,No,Captain,38151,No
Jon,63,Male,No,Engineer,62383,Yes
Albert,45,Female,Yes,Painter,13858,No
Taylor,32,Male,No,Accountant,57207,Yes
Lori,64,Female,Yes,Teacher,28461,Yes
Rebekah,72,Male,No,Pilot,17512,Yes
Cameron,19,Male,Yes,Judge,18560,No
Ebony,56,Female,Yes,tailor,59848,Yes
Wendy,40,Female,No,Pilot,64526,Yes
Angel,61,Female,No,Teacher,12477,No
Micheal,34,Male,No,Judge,36597,Yes
Kristi,59,Male,No,Worker,29379,No
Caroline,49,Female,No,Doctor,21993,No
Colin,43,Female,No,Worker,14103,No
Dawn,41,Male,No,Pilot,27853,Yes
Kari,21,Female,Yes,tailor,43608,Yes
Clayton,31,Male,Yes,Pilot,61945,No
Arthur,24,Female,Yes,Doctor,60367,No
Roger,69,Female,Yes,Worker,68649,Yes
Roberto,36,Male,Yes,Accountant,65336,No
Priscilla,30,Female,No,Pilot,37696,No
Darren,18,Male,No,Judge,37110,Yes
Kelsey,48,Female,No,Pilot,44262,Yes
Clinton,39,Male,Yes,Captain,60397,Yes
Walter,50,Male,Yes,Pilot,17670,No
Louis,17,Male,No,Painter,58310,Yes
Barbara,66,Male,Yes,Accountant,41219,No
Isaac,67,Female,No,Judge,29230,No
Cassie,57,Female,Yes,tailor,32186,No
Grant,52,Female,No,Accountant,69077,No
Cristina,42,Male,No,Pilot,52741,Yes
Tonya,51,Male,No,Worker,37297,No
Rodney,62,Male,No,Accountant,52848,Yes
Bridget,33,Female,No,Captain,22534,No
Joe,44,Male,No,Captain,21482,No
Cindy,55,Male,No,Painter,25537,No
Oscar,35,Male,Yes,Judge,57502,No
Willie,27,Male,No,Worker,14329,No
Maurice,33,Female,Yes,Painter,51321,No
Jaime,53,Male,Yes,Teacher,38221,Yes
Angelica,49,Male,Yes,Painter,17269,No
Sharon,21,Male,No,Judge,60571,Yes
Julian,31,Male,No,Pilot,35072,Yes
Jack,30,Female,No,Painter,19195,Yes
Jay,71,Female,Yes,tailor,48978,Yes
Calvin,67,Female,Yes,Painter,35379,Yes
Marie,17,Male,Yes,Judge,34649,No
Hector,38,Female,No,Captain,62662,Yes
Kate,56,Female,No,Painter,41281,No
Adrienne,29,Female,Yes,Pilot,22567,Yes
Tasha,41,Female,Yes,Teacher,25867,Yes
Michele,18,Female,Yes,Engineer,63676,Yes
Ana,45,Female,Yes,Worker,32689,No
Stefanie,42,Male,Yes,Painter,22421,Yes
Cara,57,Male,No,Captain,54202,No
Alejandro,58,Female,No,tailor,44848,Yes
Ruben,55,Male,Yes,tailor,55080,No
Gerald,52,Female,Yes,Accountant,17741,Yes
Audrey,43,Female,No,Teacher,30398,Yes
Kristine,34,Male,No,Captain,17488,No
Ann,39,Male,No,Teacher,46208,Yes
Shana,23,Female,No,Painter,58788,No
Javier,22,Male,No,Engineer,56792,Yes
Katelyn,54,Male,No,Engineer,64573,Yes
Brianna,61,Male,Yes,Pilot,59647,No
Bruce,65,Female,Yes,Doctor,23562,No
Deborah,70,Male,Yes,Accountant,59684,Yes
Claudia,44,Male,Yes,Teacher,42868,Yes
Carla,64,Female,No,Judge,57618,No
Wayne,68,Male,Yes,Doctor,13063,No
Roy,32,Male,No,Painter,32920,No
Virginia,72,Female,Yes,Judge,32411,No
Haley,36,Female,Yes,Judge,68530,Yes
Brendan,20,Female,Yes,Doctor,63872,Yes
Janelle,35,Male,Yes,Teacher,36540,Yes
Jacquelyn,51,Male,No,Worker,47967,No
Beth,18,Male,No,Painter,43096,No
Edwin,47,Male,Yes,Painter,17844,No
Dylan,19,Female,No,Accountant,48396,Yes
Dominic,66,Male,No,Pilot,47230,Yes
Latasha,59,Male,Yes,Teacher,61392,No
Darrell,25,Female,Yes,Engineer,23442,No
Geoffrey,63,Male,Yes,Doctor,18904,No
Savannah,69,Male,Yes,Teacher,43825,Yes
Reginald,50,Male,No,Engineer,39822,No
Carly,48,Male,No,Painter,51898,No
Fernando,40,Female,No,Accountant,62744,Yes
Ashleigh,24,Male,Yes,Teacher,42459,No
Aimee,28,Female,No,Judge,68934,Yes
Regina,46,Male,Yes,Captain,63378,No
Mandy,60,Female,Yes,tailor,47802,No
Sergio,62,Male,Yes,Engineer,47955,No
Rafael,37,Male,No,Teacher,42691,No
Pedro,26,Male,Yes,Worker,44527,Yes
Janet,20,Male,No,tailor,11463,No
Kaitlin,61,Female,No,tailor,42246,Yes
Frederick,27,Male,Yes,Worker,62687,Yes
Cheryl,23,Female,No,Painter,64373,No
Autumn,54,Female,Yes,Engineer,47645,Yes
Tyrone,72,Male,No,Captain,61154,No
Martha,67,Female,No,Judge,11798,Yes
Omar,64,Female,Yes,Worker,48529,No
Lydia,18,Female,Yes,Worker,61541,Yes
Jerome,39,Male,No,Teacher,18676,No
Theodore,46,Male,No,Pilot,44541,No
Abby,57,Female,No,Worker,17237,Yes
Neil,50,Male,No,Captain,64418,Yes
Shawna,19,Female,Yes,Teacher,37200,No
Sierra,41,Female,Yes,Engineer,69244,No
Nina,29,Male,No,tailor,64953,Yes
Tammy,36,Male,Yes,Worker,69838,Yes
Nikki,71,Female,No,Painter,68036,Yes
Terrance,62,Male,No,Worker,23012,No
Donna,53,Female,Yes,Teacher,51106,Yes
Claire,55,Male,No,Painter,32639,Yes
Cole,32,Male,No,Worker,39467,Yes
Trisha,43,Female,Yes,Painter,57117,Yes
Bonnie,69,Female,Yes,Engineer,26530,No
Diane,22,Female,Yes,Engineer,31042,Yes
Summer,52,Female,No,Doctor,60905,No
Carmen,25,Male,No,Accountant,15989,No
Mayra,37,Female,No,Teacher,38644,Yes
Jermaine,31,Female,Yes,Doctor,62279,No
Eddie,68,Female,No,Captain,43144,No
Micah,28,Female,No,Pilot,45515,Yes
Marvin,17,Male,Yes,Teacher,29519,Yes
Levi,38,Male,Yes,Judge,48606,Yes
Emmanuel,42,Female,No,Doctor,67740,Yes
Brad,47,Male,Yes,Teacher,26101,Yes
Taryn,70,Female,No,Engineer,48452,Yes
Toni,18,Female,No,Engineer,32724,Yes
Jessie,51,Female,Yes,Captain,43101,No
Evelyn,35,Female,Yes,Pilot,12125,No
Darryl,44,Male,No,Teacher,33888,No
Ronnie,26,Female,No,Judge,62362,No
Joy,63,Male,Yes,Captain,13205,Yes
Adriana,40,Male,Yes,Pilot,18739,No
Ruth,65,Female,No,Captain,63222,Yes
Mindy,48,Male,Yes,Worker,56712,No
Spencer,30,Female,Yes,Engineer,46633,No
Noah,59,Female,No,Pilot,65114,Yes
Raul,49,Female,Yes,Doctor,53549,Yes
Suzanne,60,Male,No,Worker,56926,No
Sophia,24,Male,Yes,Engineer,62812,No
Dale,66,Female,No,Judge,13582,Yes
Jodi,58,Male,No,Pilot,43498,No
Christie,56,Male,No,Painter,24608,No
Raquel,34,Female,Yes,tailor,31292,Yes
Naomi,33,Male,No,Teacher,69764,No
Kellie,45,Male,Yes,Accountant,48711,No
Ernest,21,Male,Yes,Judge,58284,No
Jake,44,Female,Yes,tailor,17659,Yes
Grace,61,Male,No,Engineer,61897,No
Tristan,60,Male,Yes,Engineer,44174,No
Shanna,34,Male,Yes,Judge,48415,No
Hilary,62,Female,No,Captain,65995,Yes
Eduardo,59,Male,No,Judge,42710,No
Ivan,21,Female,No,Pilot,17447,No
Hillary,20,Female,No,Engineer,26656,No
Yolanda,52,Female,No,Captain,45064,Yes
Alberto,46,Female,No,Judge,44183,Yes
Andres,55,Male,No,Accountant,18257,No
Olivia,36,Female,Yes,tailor,35851,Yes
Armando,37,Male,No,Teacher,35031,Yes
Paula,23,Female,Yes,Engineer,38773,No
Amelia,72,Male,No,Captain,60894,No
Sheila,42,Male,Yes,Judge,30568,No
Rosa,65,Male,No,Worker,11701,Yes
Robyn,26,Female,No,Accountant,59353,Yes
Kurt,69,Female,Yes,Painter,57729,No
Dane,63,Female,No,tailor,64424,No
Glenn,64,Male,Yes,tailor,44919,No
Nicolas,53,Female,Yes,Engineer,38672,No
Gloria,57,Male,No,Painter,57217,No
Eugene,56,Female,Yes,Painter,22958,No
Logan,40,Male,Yes,Engineer,11218,No
Steve,18,Male,No,Doctor,46596,No
Ramon,68,Male,No,tailor,34719,No
Bryce,43,Male,No,Painter,18294,No
Tommy,32,Male,No,Worker,30805,No
Preston,30,Female,No,Doctor,26908,Yes
Keri,18,Male,No,Pilot,48206,Yes
Devon,67,Female,Yes,tailor,10157,Yes
Alana,70,Male,Yes,Doctor,32892,No
Marisa,25,Male,No,Painter,26794,No
Melody,50,Female,No,Judge,18253,Yes
Rose,48,Female,No,Captain,41876,No
Barry,28,Male,No,Captain,34613,No
Marco,22,Male,Yes,Pilot,29476,No
Karl,31,Male,No,Teacher,67996,Yes
Daisy,19,Male,Yes,Teacher,56092,Yes
Leonard,17,Female,No,Doctor,46901,No
Randi,47,Male,No,Doctor,65898,Yes
Maggie,71,Female,Yes,Accountant,25571,Yes
Charlotte,41,Male,No,Teacher,30913,Yes
Emma,51,Male,No,tailor,60619,No
Terrence,54,Male,Yes,Doctor,46625,No
Justine,58,Female,Yes,Painter,41115,No
Britney,49,Male,No,Pilot,35179,Yes
Lacy,24,Female,No,Painter,36131,Yes
Jeanette,45,Male,Yes,Doctor,57158,No
Francis,29,Male,No,tailor,54750,Yes
Tyson,39,Female,No,Painter,32190,No
Elise,35,Male,Yes,Pilot,59371,No
Sylvia,38,Male,Yes,Doctor,34353,No
Rachelle,27,Female,No,Teacher,36457,Yes
Stanley,66,Female,No,Pilot,11122,Yes
Debra,33,Female,No,tailor,35782,Yes
Brady,50,Male,Yes,Worker,52929,Yes
Charity,40,Female,Yes,Doctor,53140,No
Hope,52,Female,No,Worker,53002,No
Melvin,72,Male,No,Engineer,59280,Yes
Johanna,45,Male,Yes,Doctor,48701,No
Karla,43,Female,No,Teacher,60570,No
Jarrod,57,Female,Yes,Teacher,59506,Yes
Charlene,58,Female,Yes,Teacher,10833,No
Gabrielle,51,Male,No,Pilot,10648,Yes
Cesar,29,Male,Yes,Judge,54607,No
Clifford,17,Female,No,Captain,56993,No
Byron,61,Female,No,Captain,53320,Yes
Terrell,21,Female,Yes,Engineer,30682,No
Sonia,38,Male,Yes,Judge,42278,Yes
Julio,53,Male,Yes,Engineer,24888,Yes
Stacie,37,Male,No,Doctor,61123,No
Shelby,20,Male,Yes,Judge,43667,No
Shelly,18,Male,Yes,Captain,68947,No
Edgar,27,Male,No,Accountant,43742,No
Roxanne,70,Male,No,Teacher,33551,No
Dwayne,33,Male,No,Teacher,30306,Yes
Kaitlyn,31,Female,Yes,Worker,69275,No
Kasey,48,Male,No,Teacher,19941,Yes
Jocelyn,49,Female,No,Worker,39836,No
Alexandria,32,Male,Yes,Captain,51292,Yes
Harold,63,Female,Yes,Doctor,31866,No
Esther,25,Female,No,Teacher,15891,Yes
Kerri,64,Male,No,Painter,65066,No
Ellen,34,Male,Yes,Judge,66495,Yes
Abraham,35,Female,No,Judge,46355,Yes
Cedric,69,Female,Yes,Accountant,20173,Yes
Carol,65,Female,Yes,Painter,33858,Yes
Katharine,42,Female,No,tailor,67839,No
Shauna,60,Female,Yes,Teacher,40540,Yes
Frances,19,Male,Yes,tailor,14428,Yes
Antoine,54,Male,Yes,Judge,53718,No
Tabatha,62,Male,No,Captain,12738,No
Annie,22,Male,No,Painter,42370,No
Erick,23,Male,No,tailor,52392,No
Alissa,68,Female,Yes,tailor,69502,No
Sherry,71,Female,No,Teacher,28724,No
Chelsey,24,Male,Yes,Teacher,17553,Yes
Franklin,66,Female,No,Painter,22318,No
Branden,18,Female,Yes,tailor,37766,Yes
Helen,26,Male,No,Doctor,12576,Yes
Traci,47,Male,No,tailor,45226,Yes
Lorenzo,41,Female,Yes,Worker,42717,Yes
Dean,44,Female,Yes,Engineer,42528,No
Sonya,39,Male,No,Painter,46448,Yes
Briana,46,Male,Yes,Worker,50586,No
Angelina,56,Male,No,Pilot,32576,No
Trista,36,Male,Yes,Judge,30498,Yes
Bianca,55,Female,No,Doctor,43303,Yes
Leticia,30,Male,No,Teacher,45318,No
Tia,28,Female,No,Doctor,59205,Yes
Kristie,59,Female,No,Captain,36138,No
Stuart,67,Female,No,Teacher,25628,Yes
Laurie,26,Female,Yes,Judge,41885,Yes
Harry,72,Female,No,Doctor,58658,No
Leigh,57,Female,Yes,Accountant,44641,Yes
Elisabeth,20,Female,Yes,Worker,36415,Yes
Alfredo,38,Female,Yes,Judge,35266,No
Aubrey,67,Female,Yes,Engineer,37852,Yes
Ray,28,Male,Yes,Worker,56866,Yes
Arturo,32,Female,No,Accountant,52120,Yes
Joey,52,Female,No,Painter,15626,Yes
Kelley,56,Female,Yes,Worker,15657,No
Max,36,Female,No,Judge,30094,Yes
Andy,23,Female,No,Judge,54523,Yes
Latisha,40,Male,Yes,Engineer,45928,Yes
Johnathon,43,Female,Yes,Captain,34584,Yes
India,29,Male,No,Teacher,33979,No
Eva,49,Male,Yes,Teacher,40977,Yes
Ralph,68,Female,No,Teacher,29728,No
Yvonne,63,Male,No,Pilot,61853,No
Warren,66,Female,No,Engineer,51384,Yes
Kirsten,51,Male,Yes,Painter,68204,Yes
Miriam,17,Male,No,Pilot,15850,No
Kelvin,39,Female,Yes,Judge,28563,Yes
Lorena,70,Male,Yes,Captain,69117,Yes
Staci,59,Male,No,Judge,58352,No
Anita,18,Male,No,Worker,23738,No
Rene,47,Female,Yes,Accountant,44768,No
Cortney,30,Female,No,Doctor,37261,Yes
Orlando,60,Male,Yes,Captain,26979,No
Carissa,41,Female,Yes,Doctor,52664,No
Jade,64,Male,Yes,Doctor,15718,Yes
